ticker,price,date
D,83.35,2022-03-07
CHS,4.21,2022-03-07
CFG,45.43,2022-03-07
XLI,97.7,2022-03-07
SU,32.86,2022-03-07
SLV,23.7,2022-03-07
MMM,143.28,2022-03-07
BIIB,205.78,2022-03-07
JBL,52.6,2022-03-07
ACN,305.02,2022-03-07
NTR,99.39,2022-03-07
BRFS,2.83,2022-03-07
SBUX,84.46,2022-03-07
EWU,30.78,2022-03-07
LVS,36.1,2022-03-07
EGO,11.43,2022-03-07
GSK,39.46,2022-03-07
TEVA,7.33,2022-03-07
PAA,10.83,2022-03-07
SQQQ,49.01,2022-03-07
VLO,84.01,2022-03-07
IMAX,18.13,2022-03-07
FNB,12.15,2022-03-07
ADSK,199.09,2022-03-07
HD,322.77,2022-03-07
BIDU,138.37,2022-03-07
AR,26.25,2022-03-07
ARNC,24.62,2022-03-07
VOYA,60.82,2022-03-07
SPXU,17.15,2022-03-07
MLCO,7.54,2022-03-07
SJNK,26.0,2022-03-07
CWB,72.84,2022-03-07
SM,40.82,2022-03-07
NTRS,104.09,2022-03-07
DHI,80.09,2022-03-07
UAL,31.2,2022-03-07
HRB,24.2,2022-03-07
BTU,22.0,2022-03-07
JBGS,27.79,2022-03-07
IPG,32.2,2022-03-07
DE,369.0,2022-03-07
KHC,40.15,2022-03-07
IBM,126.07,2022-03-07
NYT,45.0,2022-03-07
DBJP,44.65,2022-03-07
AAL,12.84,2022-03-07
OLN,44.78,2022-03-07
JCI,60.31,2022-03-07
VICI,26.78,2022-03-07
VST,22.36,2022-03-07
NWL,22.05,2022-03-07
EPD,25.36,2022-03-07
KMB,127.94,2022-03-07
AEP,97.26,2022-03-07
IT,257.51,2022-03-07
CAT,196.7,2022-03-07
AU,25.55,2022-03-07
XRAY,51.5,2022-03-07
KKR,51.16,2022-03-07
IEUR,47.29,2022-03-07
LQD,122.14,2022-03-07
CMC,38.47,2022-03-07
XBI,83.76,2022-03-07
TMUS,122.31,2022-03-07
EWW,46.99,2022-03-07
NRG,38.01,2022-03-07
CPB,45.52,2022-03-07
ATHM,25.91,2022-03-07
