indicator_id,country_id,date_id,stat,created_at,updated_at
1,1,42914,1.63,2017-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42884,1.87,2017-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42853,2.2,2017-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42823,2.38,2017-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42792,2.74,2017-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42764,2.5,2017-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42733,2.07,2016-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42702,1.69,2016-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42672,1.64,2016-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42641,1.46,2016-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42611,1.06,2016-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42580,0.83,2016-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42549,1,2016-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42519,1.02,2016-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42488,1.13,2016-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42458,0.85,2016-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42427,1.02,2016-02-29 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42398,1.37,2016-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42367,0.73,2015-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42336,0.5,2015-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42306,0.17,2015-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42275,-0.04,2015-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42245,0.2,2015-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42214,0.17,2015-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
