sentiment_id,date_id,stat,created_at,updated_at
1,44166,49.07,2020-12-03 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44160,47.25,2020-11-27 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44152,44.35,2020-11-19 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44145,55.84,2020-11-12 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44138,37.96,2020-11-05 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44131,35.29,2020-10-29 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44124,35.75,2020-10-22 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44117,34.78,2020-10-15 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44110,34.74,2020-10-08 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44103,26.24,2020-10-01 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44096,24.89,2020-09-24 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44089,32.02,2020-09-17 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44082,23.71,2020-09-10 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44075,30.8,2020-09-03 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44068,32.08,2020-08-27 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44061,30.39,2020-08-20 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44054,30.04,2020-08-13 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44047,23.29,2020-08-06 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44040,20.23,2020-07-30 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44033,26.06,2020-07-23 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44026,30.84,2020-07-16 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44019,27.16,2020-07-09 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44012,22.15,2020-07-02 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,44005,24.14,2020-06-25 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43998,24.37,2020-06-18 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43991,34.28,2020-06-11 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43984,34.55,2020-06-04 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43977,33.07,2020-05-28 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43970,29,2020-05-21 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43963,23.31,2020-05-14 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43956,23.67,2020-05-07 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43949,30.6,2020-04-30 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43942,24.86,2020-04-23 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43935,34.86,2020-04-16 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43928,36.6,2020-04-09 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43921,34.24,2020-04-02 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43914,32.9,2020-03-26 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43907,34.35,2020-03-19 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43900,29.74,2020-03-12 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43893,38.74,2020-03-05 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43886,30.43,2020-02-27 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43879,40.56,2020-02-20 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43872,41.33,2020-02-13 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43865,33.87,2020-02-06 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43858,31.98,2020-01-30 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43851,45.6,2020-01-23 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43844,41.83,2020-01-16 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43837,33.07,2020-01-09 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43830,37.22,2020-01-02 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43823,41.89,2019-12-26 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43816,44.09,2019-12-19 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43809,37.63,2019-12-12 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43802,31.72,2019-12-05 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43796,33.64,2019-11-29 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43788,34.24,2019-11-21 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43781,40.72,2019-11-14 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43774,40.3,2019-11-07 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43767,33.98,2019-10-31 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43760,35.6,2019-10-24 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43753,33.62,2019-10-17 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43746,20.31,2019-10-10 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43739,21.37,2019-10-03 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43732,29.37,2019-09-26 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43725,35.34,2019-09-19 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43718,33.12,2019-09-12 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43711,28.64,2019-09-05 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43704,26.13,2019-08-29 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43697,26.64,2019-08-22 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43690,23.18,2019-08-15 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43683,21.66,2019-08-08 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43676,38.44,2019-08-01 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43669,31.74,2019-07-25 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43662,35.93,2019-07-18 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43655,33.61,2019-07-11 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43647,33.16,2019-07-03 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43641,29.59,2019-06-27 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43634,29.51,2019-06-20 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43627,26.84,2019-06-13 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43620,22.53,2019-06-06 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43613,24.79,2019-05-30 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43606,24.71,2019-05-23 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43605,24.71,2019-05-22 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43599,29.82,2019-05-16 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43592,43.12,2019-05-09 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43585,39.02,2019-05-02 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43578,33.52,2019-04-25 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43571,37.56,2019-04-18 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43564,40.29,2019-04-11 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43557,35.02,2019-04-04 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43550,33.2,2019-03-28 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43543,37.3,2019-03-21 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43536,32.42,2019-03-14 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43529,37.39,2019-03-07 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43522,41.63,2019-02-28 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
