ticker,price,date
D,82.7,2022-03-06
CHS,4.91,2022-03-06
CFG,48.17,2022-03-06
XLI,100.39,2022-03-06
SU,31.47,2022-03-06
SLV,23.64,2022-03-06
MMM,146.73,2022-03-06
BIIB,209.45,2022-03-06
JBL,54.79,2022-03-06
ACN,314.16,2022-03-06
NTR,94.99,2022-03-06
BRFS,3.05,2022-03-06
SBUX,90.03,2022-03-06
EWU,31.41,2022-03-06
LVS,40.8,2022-03-06
EGO,11.39,2022-03-06
GSK,40.18,2022-03-06
TEVA,7.46,2022-03-06
PAA,10.86,2022-03-06
SQQQ,44.11,2022-03-06
VLO,85.98,2022-03-06
IMAX,20.04,2022-03-06
FNB,12.65,2022-03-06
ADSK,207.66,2022-03-06
HD,324.26,2022-03-06
BIDU,147.26,2022-03-06
AR,25.42,2022-03-06
ARNC,27.1,2022-03-06
VOYA,63.08,2022-03-06
SPXU,15.78,2022-03-06
MLCO,9.41,2022-03-06
SJNK,26.19,2022-03-06
CWB,74.3,2022-03-06
SM,39.89,2022-03-06
NTRS,107.47,2022-03-06
DHI,85.4,2022-03-06
UAL,36.71,2022-03-06
HRB,25.64,2022-03-06
BTU,26.35,2022-03-06
JBGS,27.84,2022-03-06
IPG,34.2,2022-03-06
DE,390.07,2022-03-06
KHC,39.84,2022-03-06
IBM,126.62,2022-03-06
NYT,46.02,2022-03-06
DBJP,46.07,2022-03-06
AAL,14.59,2022-03-06
OLN,47.65,2022-03-06
JCI,62.92,2022-03-06
VICI,27.87,2022-03-06
VST,22.51,2022-03-06
NWL,23.15,2022-03-06
EPD,25.43,2022-03-06
KMB,129.13,2022-03-06
AEP,96.33,2022-03-06
IT,269.84,2022-03-06
CAT,195.66,2022-03-06
AU,25.07,2022-03-06
XRAY,52.57,2022-03-06
KKR,55.89,2022-03-06
IEUR,48.93,2022-03-06
LQD,123.64,2022-03-06
CMC,39.74,2022-03-06
XBI,83.9,2022-03-06
TMUS,123.23,2022-03-06
EWW,49.07,2022-03-06
NRG,37.56,2022-03-06
CPB,45.55,2022-03-06
ATHM,27.43,2022-03-06
WRB,90.09,2022-03-06
MOMO,7.75,2022-03-06
TGT,224.1,2022-03-06
TV,9.99,2022-03-06
GLW,38.85,2022-03-06
MAS,54.83,2022-03-06
DOV,150.94,2022-03-06
HRL,51.73,2022-03-06
TECK,41.49,2022-03-06
AES,21.82,2022-03-06
PPL,26.45,2022-03-06
IXUS,63.54,2022-03-06
SEE,66.16,2022-03-06
NLY,7.06,2022-03-06
FRC,164.89,2022-03-06
EWT,62.47,2022-03-06
STX,103.18,2022-03-06
ADBE,452.13,2022-03-06
K,64.95,2022-03-06
